Ei	wes_pval	gene_name	class_stat	trait
0.850523591041565	6.41256254367429e-17	ABCC2	1	dbilirubin
0.416056632995605	0.0390619863041562	BLOC1S2	0	dbilirubin
0.0813391581177711	0.0108669009998132	CHUK	0	dbilirubin
0.0583479478955269	0.452340449484225	CNNM1	0	dbilirubin
0.124188393354416	0.0796839253332278	COX15	0	dbilirubin
0.133853435516357	0.523728210070231	CPN1	0	dbilirubin
0.116957172751427	0.87683415799468	CUTC	0	dbilirubin
0.297270476818085	0.00555412451918021	CWF19L1	0	dbilirubin
0.814517498016357	0.195792531471594	DNMBP	0	dbilirubin
0.0526854880154133	0.380189509891081	ENTPD7	0	dbilirubin
0.741138219833374	0.44488691343934	ERLIN1	0	dbilirubin
0.0522514693439007	0.424730642536147	GOT1	0	dbilirubin
0.0575186610221863	0.43336458553424	NKX2-3	0	dbilirubin
0.0752143338322639	0.0065533730219669	PKD2L1	0	dbilirubin
0.107875011861324	0.0104787533677393	SCD	0	dbilirubin
0.0738443210721016	0.513832681904175	SLC25A28	0	dbilirubin
0.514523208141327	1.36384320170713e-7	DGAT2	1	dbilirubin
0.555312395095825	0.0486683070085419	MAP6	0	dbilirubin
0.671624720096588	0.0224417302015639	MOGAT2	0	dbilirubin
0.628996431827545	0.113170176403792	SERPINH1	0	dbilirubin
0.636577963829041	0.662627463464174	UVRAG	0	dbilirubin
0.215210914611816	0.00479849415753802	ATG16L1	0	dbilirubin
0.254673957824707	4.881606275147e-4	DGKD	0	dbilirubin
0.173529297113419	0.251207576026814	HJURP	0	dbilirubin
0.187881335616112	0.150470319861915	INPP5D	0	dbilirubin
0.28575599193573	9.051686577636061e-14	MROH2A	1	dbilirubin
0.626243710517883	1.11567639000438e-18	SAG	1	dbilirubin
0.442970842123032	0.00334638052538905	SPP2	0	dbilirubin
0.130762815475464	0.0106884292574338	TRPM8	0	dbilirubin
0.900506198406219	4.1452489306320503e-73	UGT1A1	1	dbilirubin
0.81312221288681	1.3797739904908499e-83	UGT1A10	1	dbilirubin
0.883618175983429	1.90834591239776e-26	UGT1A3	1	dbilirubin
0.779504656791687	2.0275413072234e-28	UGT1A4	1	dbilirubin
0.807743549346924	2.48117345863308e-34	UGT1A5	1	dbilirubin
0.843005836009979	2.4396087734486998e-43	UGT1A6	1	dbilirubin
0.813446700572968	1.0718169960155e-30	UGT1A7	1	dbilirubin
0.789945006370544	2.0571538468111798e-35	UGT1A8	1	dbilirubin
0.87816709280014	2.19645771593817e-28	UGT1A9	1	dbilirubin
0.196814551949501	2.828138186528e-5	USP40	0	dbilirubin
0.725787043571472	2.0663859512382001e-10	ABCG5	1	ldl
0.842833995819092	1.81068509942e-6	ABCG8	0	ldl
0.213006317615509	0.687595667385286	C1GALT1C1L	0	ldl
0.368667662143707	0.563555830779414	CAMKMT	0	ldl
0.600474715232849	0.0185536001379707	DYNC2LI1	0	ldl
0.161455199122429	0.257128458403026	LRPPRC	0	ldl
0.473420828580856	0.0789634238177104	PLEKHH2	0	ldl
0.0823262855410576	0.293750361505772	PPM1B	0	ldl
0.0873719230294228	0.0123502522319624	PREPL	0	ldl
0.0978652760386467	0.866735989554202	SIX3	0	ldl
0.0733177810907364	0.0260733493763625	SLC3A1	0	ldl
0.693876922130585	0.0767871301736689	THADA	0	ldl
0.171599864959717	0.144919182582936	ZFP36L2	0	ldl
0.342210531234741	2.0908829913444298e-35	ANGPTL3	1	ldl
0.285919040441513	0.0381031369743231	ATG4C	0	ldl
0.863681077957153	0.0964970787183598	DOCK7	0	ldl
0.178031235933304	0.126501618338345	KANK4	0	ldl
0.227414354681969	0.699962897473961	USP1	0	ldl
0.269959270954132	0.126343110226807	APOA1	0	ldl
0.700233101844788	0.041967493187796	APOA4	0	ldl
0.842282831668854	0.180983320289809	APOA5	0	ldl
0.186623558402061	5.26840524298632e-16	APOC3	1	ldl
0.302876114845276	0.602605505374927	BACE1	0	ldl
0.387081921100616	0.00732686410828627	BUD13	0	ldl
0.217561900615692	0.395888317159529	CEP164	0	ldl
0.0483978092670441	0.451428757950708	DSCAML1	0	ldl
0.521467745304108	0.454583945255054	PAFAH1B2	0	ldl
0.0854240953922272	0.0733871717585767	PCSK7	0	ldl
0.206267029047012	0.0504182748105655	RNF214	0	ldl
0.162474423646927	0.568062432480341	SIDT2	0	ldl
0.764581143856049	0.177366500604765	SIK3	0	ldl
0.0964737012982368	0.0367615556523605	TAGLN	0	ldl
0.162066996097565	0.00250176888391994	ZPR1	0	ldl
0.47945249080658	0.00518726185897636	ANKDD1B	0	ldl
0.647643685340881	0.534348793189405	ANKRD31	0	ldl
0.0727742686867714	0.0580263595447217	FAM169A	0	ldl
0.696513056755066	0.0111324037968723	GCNT4	0	ldl
0.0575795136392117	0.00766910055458249	GFM2	0	ldl
0.732629120349884	6.06763320144026e-8	HMGCR	1	ldl
0.0567241013050079	0.178301151238264	NSA2	0	ldl
0.788476884365082	0.0444721228109797	POC5	0	ldl
0.649943232536316	0.5538883928992	POLK	0	ldl
0.7452312707901	0.393820232440995	SV2C	0	ldl
0.779503285884857	0.0493799359688663	COL4A3BP	0	ldl
0.303995758295059	0.213671739514637	CAMK2B	0	ldl
0.0802454650402069	0.00860213004452537	CCM2	0	ldl
0.0584727264940739	0.0326371895026217	DBNL	0	ldl
0.322416216135025	0.0385707454654992	DDX56	0	ldl
0.304898828268051	0.0880787502340742	MYL7	0	ldl
0.0590903833508492	0.0239580733875411	MYO1G	0	ldl
0.0483994223177433	0.106332050892016	NACAD	0	ldl
0.533663928508759	5.63842676299187e-18	NPC1L1	1	ldl
0.703145682811737	0.31799751684119	OGDH	0	ldl
0.0772543549537659	0.552339592017464	POLD2	0	ldl
0.68285071849823	0.269841287771625	PPIA	0	ldl
0.0554853677749634	0.0180492141687254	PURB	0	ldl
0.0675466954708099	0.0949914117239975	SPDYE1	0	ldl
0.0676836669445038	0.0149275013655083	UBE2D4	0	ldl
0.310543209314346	0.518939853410881	BSND	0	ldl
0.21831302344799	0.0317031656287654	DHCR24	0	ldl
0.184921234846115	0.559354504386412	LEXM	0	ldl
0.207850113511086	0.247296434402693	PARS2	0	ldl
0.905999839305878	3.4333892199579395e-136	PCSK9	1	ldl
0.240511551499367	0.40681594059086	TMEM61	0	ldl
0.184921234846115	0.0461069853341256	TTC22	0	ldl
0.829525470733643	0.0228207708407825	USP24	0	ldl
0.553726255893707	0.473198525141603	BANF2	0	ldl
0.663921236991882	0.0104453437333624	MGME1	0	ldl
0.437746673822403	4.6604733244081e-4	OVOL2	0	ldl
0.591452479362488	3.66030999748756e-8	RRBP1	1	ldl
0.365085899829865	0.426288544976982	SNX5	0	ldl
0.74309903383255	5.14512587990936e-19	ACO1	1	rbc
0.652133643627167	0.301653751524941	DDX58	0	rbc
0.522571563720703	0.317586380796926	NDUFB6	0	rbc
0.452281594276428	0.297924804481785	SMIM27	0	rbc
0.338667988777161	0.0444489354058966	TAF1L	0	rbc
0.298985630273819	0.969483883100938	TMEM215	0	rbc
0.309403598308563	0.0257797164847686	TOPORS	0	rbc
0.166083067655563	0.844358149967971	AMIGO3	0	rbc
0.219224229454994	6.00978151643122e-13	APEH	1	rbc
0.195853918790817	0.252921908276025	CAMKV	0	rbc
0.167133793234825	0.770298731634782	CDHR4	0	rbc
0.17554047703743	0.241776098187995	GMPPB	0	rbc
0.577136754989624	0.397933142624898	GNAI2	0	rbc
0.200859278440475	0.651721288400492	GNAT1	0	rbc
0.225978896021843	0.0893350965525308	HYAL1	0	rbc
0.183680012822151	0.355389753378446	HYAL2	0	rbc
0.193906456232071	0.393067229024599	HYAL3	0	rbc
0.183680012822151	0.218701549968187	IFRD2	0	rbc
0.173333063721657	0.0189707799452546	INKA1	0	rbc
0.180806800723076	0.00413488936257574	IP6K1	0	rbc
0.211794003844261	0.294834129965197	LSMEM2	0	rbc
0.220619469881058	0.362009459344127	MON1A	0	rbc
0.166083067655563	0.0837666250097886	MST1	0	rbc
0.221864178776741	0.0667439263102023	MST1R	0	rbc
0.183680012822151	0.0263637356583155	NAA80	0	rbc
0.195853918790817	0.100499590181037	RASSF1	0	rbc
0.240236803889275	0.00660741189142566	RBM5	0	rbc
0.266722112894058	0.159390312262718	RBM6	0	rbc
0.197782427072525	0.0642615704000913	RNF123	0	rbc
0.245922461152077	0.015709769629932	SEMA3B	0	rbc
0.274855136871338	0.181578927053012	SEMA3F	0	rbc
0.311566978693008	0.2093029311345	SLC38A3	0	rbc
0.220619469881058	0.260162530642522	TRAIP	0	rbc
0.193906456232071	0.460505778790752	TUSC2	0	rbc
0.167133793234825	0.0171367189125858	UBA7	0	rbc
0.15804249048233	0.288429824102794	ZMYND10	0	rbc
0.247064009308815	0.662990118314357	ABHD1	0	rbc
0.327915132045746	0.814160191744979	AGBL5	0	rbc
0.187075957655907	0.344625008774468	ATRAID	0	rbc
0.363218605518341	0.0363955616452598	BABAM2	0	rbc
0.275256365537643	3.93708684355003e-10	CAD	1	rbc
0.318448662757874	0.0541866461499446	CGREF1	0	rbc
0.274761706590652	0.0630457487430276	EMILIN1	0	rbc
0.367511838674545	0.641971216039735	FOSL2	0	rbc
0.332619786262512	0.322584172446376	KHK	0	rbc
0.363218605518341	0.331276259871672	MRPL33	0	rbc
0.226872727274895	0.111405592185306	OST4	0	rbc
0.223303437232971	0.0651877305822224	PREB	0	rbc
0.335214376449585	0.00267806323403597	RBKS	0	rbc
0.215942889451981	0.392719227481662	SLC5A6	0	rbc
0.272320508956909	0.343754949731558	TCF23	0	rbc
0.246927529573441	0.031775830841208	PRR30	0	rbc
0.0455343313515186	1.9256181370053e-4	BEST2	0	rbc
0.217236489057541	3.71766291515851e-33	CALR	1	rbc
0.442224740982056	0.0241876917415048	DAND5	0	rbc
0.0392829850316048	0.517117074760809	DHPS	0	rbc
0.299171537160873	0.0364674871364075	DNASE2	0	rbc
0.190176025032997	0.0563188409301019	FARSA	0	rbc
0.0418825447559357	0.0851910485012524	FBXW9	0	rbc
0.449478954076767	0.104173888323747	GADD45GIP1	0	rbc
0.865085363388062	0.886860366144199	GCDH	0	rbc
0.167421847581863	0.0817934746776481	HOOK2	0	rbc
0.0987256988883018	0.740455602522407	IER2	0	rbc
0.0719184055924416	0.470120597573396	JUNB	0	rbc
0.833613812923431	3.06457347494e-13	KLF1	1	rbc
0.123240515589714	0.20484781792708	LYL1	0	rbc
0.0397734381258488	0.278616133056104	MAN2B1	0	rbc
0.0624654330313206	0.121728912019429	MAST1	0	rbc
0.11498662084341	0.0954986184489117	NACC1	0	rbc
0.067520909011364	0.10536646355094	PRDX2	0	rbc
0.212285116314888	0.00372632524857232	RAD23A	0	rbc
0.0656955242156982	0.0122875041145544	RNASEH2A	0	rbc
0.0656955242156982	0.431558013142658	RTBDN	0	rbc
0.0898015350103378	3.167559541785e-5	STX10	0	rbc
0.635823845863342	0.00820514134877737	SYCE2	0	rbc
0.0432496331632137	0.366796856894042	TNPO2	0	rbc
0.0468275882303715	6.0137487017563e-4	TRIR	0	rbc
0.109924390912056	0.0801891020668204	TRMT1	0	rbc
0.0493170656263828	0.00304085996416268	WDR83	0	rbc
0.0392829850316048	0.789595593274418	WDR83OS	0	rbc
0.0606084689497948	0.563652825661811	ZNF442	0	rbc
0.0517897643148899	0.359454518738849	ZNF443	0	rbc
0.048580776900053	0.309415190999794	ZNF490	0	rbc
0.419671595096588	8.2501623404658e-4	ZNF563	0	rbc
0.288251489400864	0.550592559219431	ZNF564	0	rbc
0.127407789230347	0.036320023042407	ZNF709	0	rbc
0.0575130321085453	0.264662874833609	ZNF791	0	rbc
