	ontology	P	Beta	genes_in_set	overlapping_genes
0	synapse (GO:0045202)	4.4469307233304485e-11	1.3597473892904757	1474	37
81	postsynaptic membrane (GO:0045211)	7.726241042141255e-10	2.1308324888793684	149	10
45	postsynapse (GO:0098794)	1.566625090853362e-09	1.3878230606809903	909	26
4	presynapse (GO:0098793)	1.4625572655935578e-08	1.4079875560034383	691	21
32	presynaptic membrane (GO:0042734)	1.024923359144246e-07	1.9213535945762164	161	9
56	postsynaptic specialization (GO:0099572)	1.6326542711617887e-07	1.4967676954939848	413	15
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	4.5259430647046874e-07	2.783330036381366	33	4
94	process in the synapse	1.0003948479211477e-06	1.1259477796092945	1115	26
84	integral component of postsynaptic membrane (GO:0099055)	1.018598988618951e-06	1.9842238174617106	119	7
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	1.6272007298338189e-06	2.6138137109230386	39	4
35	integral component of presynaptic membrane (GO:0099056)	3.0431341893701004e-06	1.8891536204680792	130	7
61	postsynaptic density (GO:0014069)	5.57797154977366e-06	1.4256671700491061	347	12
189	chemical synaptic transmission (GO:0007268)	1.7122644255767848e-05	1.6277362168020404	180	8
95	process in the presynapse	2.003499828456988e-05	1.392856492749086	312	11
170	trans-synaptic signaling (GO:0099537)	0.0001176817562831352	1.451943769397201	214	8
237	regulation of synapse disassembly (GO:1905806)	0.00013206869990088887	3.0515818303525837	11	2
236	synapse disassembly (GO:0098883)	0.00013206869990088887	3.0515818303525837	11	2
169	synaptic signaling (GO:0099536)	0.00014735885555859404	1.4296095830953188	222	8
136	regulation of neurotransmitter uptake (GO:0051580)	0.00048628179517625224	4.100449498468516	5	1
13	extrinsic component of presynaptic active zone membrane (GO:0098891)	0.0014647808790522656	4.0823454960456	3	1
62	postsynaptic density, intracellular component (GO:0099092)	0.0020359933088402167	1.876479348852479	49	3
300	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	0.002084242599774892	4.366474221666396	2	1
158	regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0099145)	0.002084242599774892	4.366474221666396	2	1
234	regulation of postsynaptic density assembly (GO:0099151)	0.00223766768162737	2.313826700040202	20	2
100	regulation of presynaptic membrane potential (GO:0099505)	0.0024555419865217353	1.842262425677018	48	3
198	synapse organization (GO:0050808)	0.0035694161821353218	0.9856576337211067	424	10
67	postsynaptic specialization of symmetric synapse (GO:0099629)	0.004853413106360768	3.267548404229453	4	1
148	regulation of postsynaptic membrane potential (GO:0060078)	0.005414271542108261	1.6808542335594587	60	3
135	neurotransmitter reuptake (GO:0098810)	0.005430510076250807	3.0278801120785404	10	1
243	maintenance of postsynaptic density structure (GO:0099562)	0.00573024595895999	3.1051872215435843	6	1
157	exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)	0.006950514463315786	2.9716004159665905	8	1
52	spine apparatus (GO:0097444)	0.006950514463315818	2.9716004159665883	8	1
233	postsynaptic density assembly (GO:0097107)	0.007636076600153598	1.9906712621343907	26	2
119	regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	0.008003928154118524	2.9797095305229417	5	1
82	anchored component of postsynaptic membrane (GO:0099025)	0.008003928154118555	2.9797095305229417	5	1
275	anterograde axonal transport (GO:0008089)	0.008684198184132963	2.917293426843474	6	1
9	presynaptic active zone (GO:0048786)	0.008699927956999547	1.3694573150546676	109	4
11	presynaptic active zone membrane (GO:0048787)	0.009260657773381859	1.5665039658443505	70	3
127	synaptic vesicle endocytosis (GO:0048488)	0.010898855952640365	1.531800467481806	71	3
118	synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	0.012306232474795835	2.7564091533635127	6	1
106	synaptic vesicle cycle (GO:0099504)	0.012711412641131105	1.0674560987227082	221	6
66	integral component of postsynaptic density membrane (GO:0099061)	0.014309297138455591	1.277546136593461	113	4
23	synaptic vesicle membrane (GO:0030672)	0.014471445853230453	1.273666399858013	121	4
299	neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	0.01541144920683345	2.6178802208517857	9	1
298	neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	0.01658532937571976	2.57657542521826	10	1
114	regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037)	0.01777222017099572	2.5739307461261327	7	1
116	synaptic vesicle docking (GO:0016081)	0.019007607905478778	2.5337442197338094	8	1
33	anchored component of presynaptic membrane (GO:0099026)	0.02031086677160271	2.495484065471653	9	1
274	axonal transport (GO:0098930)	0.021679428215467103	2.4589520357267247	10	1
213	structural constituent of synapse (GO:0098918)	0.023408400714222802	1.6705618725826563	38	2
151	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	0.023629213683961016	1.6650957688221912	42	2
215	structural constituent of active zone (GO:0098882)	0.024381061798596698	2.4196231912495283	8	1
99	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	0.025877173439141882	2.3855627022833916	9	1
231	postsynaptic specialization assembly (GO:0098698)	0.03151464407111966	1.5817811447148247	40	2
60	integral component of postsynaptic specialization membrane (GO:0099060)	0.03361937484665644	1.5606187006234098	43	2
141	regulation of postsynaptic cytosolic calcium levels (GO:0099566)	0.03748250140113782	2.2003089753394343	12	1
242	maintenance of postsynaptic specialization structure (GO:0098880)	0.03939116259036387	2.1736181647482518	13	1
191	presynaptic process involved in chemical synaptic transmission (GO:0099531)	0.0401029812751518	1.504381480591906	48	2
192	presynaptic modulation of chemical synaptic transmission (GO:0099171)	0.0401029812751518	1.504381480591906	48	2
223	synapse adhesion between pre- and post-synapse (GO:0099560)	0.04057749327883257	1.5022043851269846	45	2
296	neurotransmitter receptor transport to plasma membrane (GO:0098877)	0.041352374260503685	2.1477455450931844	14	1
58	postsynaptic specialization membrane (GO:0099634)	0.04219023622558589	1.4891826540113104	47	2
17	extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	0.04279891364129392	2.141924580124817	11	1
214	structural constituent of presynapse (GO:0099181)	0.04279891364129403	2.141924580124817	11	1
