ontology	P	Beta	genes_in_set	overlapping_genes
GOBP_SUBPALLIUM_DEVELOPMENT	2.0968612235033489e-13	4.0993910955627895	27	4
GOBP_STRIATUM_DEVELOPMENT	2.4083098091430605e-10	4.03907511945491	21	3
GOBP_NEUROGENESIS	2.4569557588261487e-10	1.7488376842343683	1584	20
GOBP_GENERATION_OF_NEURONS	7.276235210889553e-10	1.7503536870817205	1371	18
GOBP_SYNAPTIC_MEMBRANE_ADHESION	2.1738716281462577e-09	3.751078466179476	27	3
GOCC_SITE_OF_POLARIZED_GROWTH	2.6405879755326423e-09	2.607692673842791	164	6
GOBP_REPLACEMENT_OSSIFICATION	2.9992956775773687e-09	3.7102040318993814	28	3
GOCC_CHROMATIN	4.874556820864632e-09	1.7224594509923445	1206	16
GOCC_MYELIN_SHEATH_ABAXONAL_REGION	5.073790624839793e-09	5.120721468325303	6	2
GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	5.073790624839903e-09	5.1207214683253	6	2
GOBP_SYNAPSE_ASSEMBLY	1.3779055796196546e-08	2.4817922869023095	185	6
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	2.4360773815767038e-08	1.7164271702094482	1025	14
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	3.3323166791978056e-08	4.427364732022758	10	2
GOBP_BRANCHING_MORPHOGENESIS_OF_A_NERVE	5.4773306316143595e-08	4.3095293005685065	11	2
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ASSEMBLY	5.477330631614382e-08	4.3095293005685065	11	2
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	1.28344079028617e-07	3.239413476085744	43	3
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION	1.3853757422264492e-07	4.108753805273938	13	2
GOCC_CHROMOSOME	1.403286051807957e-07	1.4945726014875769	1730	18
GOBP_DENDRITE_DEVELOPMENT	2.0667701333365884e-07	2.2642247948911645	228	6
GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY	2.1260783858424745e-07	4.021690024249186	14	2
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	2.3041044003661635e-07	2.255150142183494	230	6
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	2.712234812350269e-07	1.5124619561579684	1463	16
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	2.9362980521249346e-07	2.432532630196266	159	5
