	ontology	P	Beta	genes_in_set	overlapping_genes
2120	GOBP_SUBPALLIUM_DEVELOPMENT	1.8114188818174886e-12	3.9803980236631227	27	4
2153	GOBP_STRIATUM_DEVELOPMENT	1.738579262788047e-09	3.8840247005768402	21	3
3308	GOBP_REPLACEMENT_OSSIFICATION	6.696794517873723e-09	3.6590572402163635	28	3
2215	GOBP_NEUROGENESIS	1.3385941213569429e-08	1.6041025539776297	1584	20
7785	GOCC_CHROMATIN	1.3753951942859409e-08	1.6746072031720676	1206	16
5356	GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	3.681816643200811e-08	4.483425206888537	10	2
4476	GOBP_GENERATION_OF_NEURONS	4.302495904732538e-08	1.5934208600981323	1371	18
6476	GOBP_SYNAPTIC_MEMBRANE_ADHESION	8.094601518500992e-08	3.4146906368878884	27	3
8303	GOCC_MYELIN_SHEATH_ABAXONAL_REGION	8.735747117954058e-08	4.754963691712003	6	2
1085	GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	8.735747117954058e-08	4.754963691712003	6	2
8092	GOCC_SITE_OF_POLARIZED_GROWTH	1.7393845615712688e-07	2.337233414688733	164	6
1544	GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	2.2180484651435826e-07	2.465512082852734	159	5
4502	GOBP_BRANCHING_MORPHOGENESIS_OF_A_NERVE	4.00455919551861e-07	4.07093550152215	11	2
5354	GOBP_REGULATION_OF_CELL_GROWTH_INVOLVED_IN_CARDIAC_MUSCLE_CELL_DEVELOPMENT	4.033853832361474e-07	3.951327968788011	15	2
1158	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	4.503068926539612e-07	1.5741002340748689	1025	14
7878	GOCC_CHROMOSOME	4.6918706703840377e-07	1.4345946661658309	1730	18
2184	GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	5.200393124923725e-07	3.100497293077372	43	3
1157	GOBP_SYNAPSE_ASSEMBLY	5.702511216962916e-07	2.22727354653184	185	6
4609	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	5.972130472359279e-07	3.059336418172477	60	3
6452	GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ASSEMBLY	6.129298638034919e-07	4.005031614332815	11	2
175	GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	7.127411135129013e-07	3.8046601626906305	19	2
4108	GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	7.942245643874985e-07	1.4557740218261872	1463	16
7408	GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION	8.716703044039604e-07	3.882124730643216	13	2
7801	GOCC_SPINDLE_POLE	8.930971635620608e-07	2.3394263433676707	161	5
4611	GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	9.004251921496398e-07	3.7582685636128565	20	2
1055	GOBP_MITOTIC_METAPHASE_PLATE_CONGRESSION	1.0074501630947824e-06	2.9891387757124117	58	3
5175	GOBP_REGULATION_OF_HEART_GROWTH	1.1617118777881987e-06	2.9709093816655874	58	3
5140	GOBP_ENDOCHONDRAL_BONE_MORPHOGENESIS	1.3921584184390124e-06	2.9490335007994637	57	3
101	GOBP_OSSIFICATION	1.423093603252071e-06	1.9637329058270778	386	7
4447	GOBP_EMBRYONIC_MORPHOGENESIS	1.4430695435908997e-06	1.7592473880930397	591	9
5805	GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	1.9678524527000784e-06	3.6439239602424047	19	2
