	ontology	P	Beta	genes_in_set	overlapping_genes
223	synapse adhesion between pre- and post-synapse (GO:0099560)	1.1455754183662666e-07	3.246997097430019	45	3
234	regulation of postsynaptic density assembly (GO:0099151)	1.230101661240892e-06	3.672320099729352	20	2
233	postsynaptic density assembly (GO:0097107)	6.0251115679275615e-06	3.384340703192127	26	2
94	process in the synapse	4.085042421417848e-05	1.377285568688855	1115	11
270	regulation of translation at postsynapse (GO:0140245)	4.297207055290245e-05	4.754283569371978	4	1
231	postsynaptic specialization assembly (GO:0098698)	7.342986423536989e-05	2.924114273637082	40	2
182	trans-synaptic signaling by trans-synaptic complex (GO:0099545)	0.0004149531549536296	3.7732067364525643	9	1
299	neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	0.00041495315495363274	3.7732067364525634	9	1
298	neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	0.0005793099338704676	3.6553741774582975	10	1
63	postsynaptic density membrane (GO:0098839)	0.0006626774927473679	2.0381510860457457	143	3
65	extrinsic component of postsynaptic density membrane (GO:0099147)	0.0007837663090462371	3.549964136009908	11	1
154	regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	0.0016730678975378887	1.878730013502503	167	3
296	neurotransmitter receptor transport to plasma membrane (GO:0098877)	0.0016737551215342077	3.287451279452198	14	1
265	regulation protein catabolic process at postsynapse (GO:0140252)	0.002072880348343499	3.2132937716947545	15	1
227	presynapse assembly (GO:0099054)	0.002072880348343503	3.213293771694754	15	1
189	chemical synaptic transmission (GO:0007268)	0.0025608973769753116	1.8017976984707416	180	3
294	neurotransmitter receptor transport (GO:0099637)	0.0036112411367972288	3.0189891357182628	18	1
264	protein catabolic process at postsynapse (GO:0140249)	0.004938056052689127	2.907664407311613	20	1
61	postsynaptic density (GO:0014069)	0.005766212305295227	1.4375929563150183	347	4
190	modulation of chemical synaptic transmission (GO:0050804)	0.006319565685867613	1.9840590134454412	99	2
170	trans-synaptic signaling (GO:0099537)	0.006477812375041975	1.6243898919513375	214	3
169	synaptic signaling (GO:0099536)	0.007810241884534087	1.5867760154094253	222	3
249	metabolism	0.008387155093172963	1.9140308427604034	106	2
261	protein catabolic process at synapse (GO:0140246)	0.009368557905298005	2.673801779920313	25	1
66	integral component of postsynaptic density membrane (GO:0099061)	0.01085454932795944	1.8485431692220435	113	2
212	regulation of synapse organization (GO:0050807)	0.014079716416851157	2.519452834912727	29	1
56	postsynaptic specialization (GO:0099572)	0.015583464010912245	1.2582791144768868	413	4
229	regulation of presynapse assembly (GO:1905606)	0.01682101762094623	2.4503608160927524	31	1
198	synapse organization (GO:0050808)	0.01794614469243584	1.2311836246260823	424	4
156	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	0.018286458617137236	2.4175214159166916	32	1
35	integral component of presynaptic membrane (GO:0099056)	0.01864844285763799	1.7051965562566984	130	2
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	0.01981425600271983	2.3857231377910044	33	1
140	process in the postsynapse	0.021015171065748028	1.3748702264973225	273	3
0	synapse (GO:0045202)	0.021660415418265837	0.8337931362944052	1474	9
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	0.030247428018165448	2.2135753503652653	39	1
162	regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)	0.03834391953228109	2.113293488950635	43	1
4	presynapse (GO:0098793)	0.03894649435056358	0.9685149177586597	691	5
32	presynaptic membrane (GO:0042734)	0.03996276906808092	1.4867770611234326	161	2
45	postsynapse (GO:0098794)	0.04087848403361504	0.8835017448392756	909	6
226	synapse assembly (GO:0007416)	0.04166234027320859	1.4741771029397366	163	2
62	postsynaptic density, intracellular component (GO:0099092)	0.05204307515809034	1.979464418213178	49	1
14	integral component of presynaptic active zone membrane (GO:0099059)	0.05953216389737045	1.918690924104081	52	1
272	transport	0.062116441480276695	1.8992232092239218	53	1
161	postsynaptic neurotransmitter receptor endocytosis (GO:0098884)	0.06474299294389506	1.880125382767003	54	1
269	translation at postsynapse (GO:0140242)	0.07011893416013083	1.8429848407237397	56	1
267	translation at synapse (GO:0140241)	0.07011893416013083	1.8429848407237397	56	1
155	neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)	0.07565211758066555	1.8071674779031646	58	1
11	presynaptic active zone membrane (GO:0048787)	0.11173589497607282	1.61551635275257	70	1
127	synaptic vesicle endocytosis (GO:0048488)	0.1149376013471992	1.6010779419030485	71	1
9	presynaptic active zone (GO:0048786)	0.24998696688337696	1.1655525370139166	109	1
228	regulation of synapse assembly (GO:0051963)	0.26507769915722035	1.1289857987206402	113	1
84	integral component of postsynaptic membrane (GO:0099055)	0.2878294487808888	1.076501330024592	119	1
81	postsynaptic membrane (GO:0045211)	0.4017740619044967	0.8484787631665027	149	1
21	synaptic vesicle (GO:0008021)	0.41305330031997356	0.8282615853733754	152	1
106	synaptic vesicle cycle (GO:0099504)	0.6572965534476218	0.448466544101357	221	1
95	process in the presynapse	0.9229253617488731	0.09773644912236876	312	1
288	synaptic vesicle transport along microtubule (GO:0099517)	1.0	0.0	4	0
211	regulation of modification of synapse structure, modulating synaptic transmission (GO:0098987)	1.0	0.0	2	0
195	synaptic signaling via neuropeptide (GO:0099538)	1.0	0.0	8	0
196	synaptic signaling by nitric oxide (GO:0099163)	1.0	0.0	3	0
197	regulation of synaptic signaling by nitric oxide (GO:0150045)	1.0	0.0	2	0
210	regulation of modification of synaptic structure (GO:1905244)	1.0	0.0	2	0
289	anterograde synaptic vesicle transport (GO:0048490)	1.0	0.0	4	0
199	presynapse organization (GO:0099172)	1.0	0.0	2	0
204	modification of synaptic structure (GO:0099563)	1.0	0.0	55	0
209	modification of synaptic structure, modulating synaptic transmission (GO:0099564)	1.0	0.0	1	0
208	regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)	1.0	0.0	13	0
200	regulation of presynapse organization (GO:0099174)	1.0	0.0	2	0
201	postsynapse organization (GO:0099173)	1.0	0.0	75	0
206	regulation of modification of postsynaptic structure (GO:0099159)	1.0	0.0	19	0
202	regulation of postsynapse organization (GO:0099175)	1.0	0.0	55	0
290	regulation of anterograde synaptic vesicle transport (GO:1903742)	1.0	0.0	2	0
203	postsynaptic specialization organization (GO:0099084)	1.0	0.0	4	0
205	modification of postsynaptic structure (GO:0099010)	1.0	0.0	52	0
207	modification of postsynaptic actin cytoskeleton (GO:0098885)	1.0	0.0	26	0
188	trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	1.0	0.0	7	0
191	presynaptic process involved in chemical synaptic transmission (GO:0099531)	1.0	0.0	48	0
164	postsynaptic dense core vesicle exocytosis (GO:0150038)	1.0	0.0	2	0
165	regulation of postsynaptic dense core vesicle exocytosis (GO:0150044)	1.0	0.0	1	0
166	postsynaptic signaling pathway (GO:0098926)	1.0	0.0	18	0
167	postsynapse to nucleus signaling pathway (GO:0099527)	1.0	0.0	16	0
297	neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	1.0	0.0	5	0
168	regulation of postsynapse to nucleus signaling pathway (GO:1905539)	1.0	0.0	2	0
295	neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1.0	0.0	2	0
293	establishment of endoplasmic reticulum localization to postsynapse (GO:0099089)	1.0	0.0	1	0
171	trans-synaptic signaling by lipid (GO:0099541)	1.0	0.0	11	0
172	trans-synaptic signaling by endocannabinoid (GO:0099542)	1.0	0.0	11	0
173	retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	1.0	0.0	6	0
174	regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	1.0	0.0	3	0
192	presynaptic modulation of chemical synaptic transmission (GO:0099171)	1.0	0.0	48	0
175	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0099553)	1.0	0.0	5	0
177	trans-synaptic signaling by neuropeptide (GO:0099540)	1.0	0.0	1	0
178	trans-synaptic signaling by soluble gas (GO:0099543)	1.0	0.0	1	0
179	trans-synaptic signaling by nitric oxide (GO:0099548)	1.0	0.0	1	0
180	trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1.0	0.0	1	0
181	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1.0	0.0	1	0
292	regulation of recycling endosome localization within postsynapse (GO:0099158)	1.0	0.0	1	0
183	retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	1.0	0.0	4	0
184	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557)	1.0	0.0	2	0
185	trans-synaptic signalling via exosome (GO:0099157)	1.0	0.0	1	0
186	trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183)	1.0	0.0	6	0
187	regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0150035)	1.0	0.0	2	0
291	synaptic vesicle recycling via endosome (GO:0036466)	1.0	0.0	3	0
