ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
synapse (GO:0045202)	1474	37	1.7582036365516052	1.247466295295725e-18	2.260408927075854e-15	4.4469307233304485e-11	8.057838470674773e-08
postsynapse (GO:0098794)	909	26	1.7971064651274085	1.1089676371193125e-15	2.009449358460194e-12	1.566625090853362e-09	2.8387246646262916e-06
postsynaptic membrane (GO:0045211)	149	10	2.571168345357104	4.760351001171014e-14	8.625756014121878e-11	7.726241042141254e-10	1.3999948768359955e-06
presynapse (GO:0098793)	691	21	1.818754973570068	7.958621834577773e-14	1.4421022764254924e-10	1.4625572655935578e-08	2.650153765255527e-05
process in the synapse	1115	26	1.5766615054339503	1.840393310309606e-12	3.334792678281006e-09	1.0003948479211475e-06	0.0018127154644331192
postsynaptic specialization (GO:0099572)	413	15	1.95814147063808	3.0017814035783088e-12	5.439227903283895e-09	1.632654271161789e-07	0.0002958369539345162
presynaptic membrane (GO:0042734)	161	9	2.366701227641708	2.9772112530295386e-11	5.394706790489524e-08	1.024923359144246e-07	0.00018571611267693736
postsynaptic density (GO:0014069)	347	12	1.882334600894736	1.1503967805296322e-09	2.0845189663196936e-06	5.57797154977366e-06	0.010107284448189872
integral component of postsynaptic membrane (GO:0099055)	119	7	2.404910032497717	1.9799616858170603e-09	3.5876905747005135e-06	1.018598988618951e-06	0.0018457013673775391
process in the presynapse	312	11	1.8948421021631217	3.836759046795496e-09	6.9522073927934385e-06	2.003499828456988e-05	0.03630341689164062
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	33	4	3.174430548061656	4.546286383452215e-09	8.237870926815413e-06	4.5259430647046884e-07	0.0008201008833244895
integral component of presynaptic membrane (GO:0099056)	130	7	2.310675166461256	7.526498823034183e-09	1.363801586733794e-05	3.0431341893701004e-06	0.005514159151138622
chemical synaptic transmission (GO:0007268)	180	8	2.115334464740441	1.5344955903103734e-08	2.7805060096423967e-05	1.7122644255767848e-05	0.031026231391451338
postsynaptic process involved in chemical synaptic transmission (GO:0099565)	39	4	2.986079927855488	2.5245437490953173e-08	4.574473273360715e-05	1.6272007298338189e-06	0.0029484877224588797
trans-synaptic signaling (GO:0099537)	214	8	1.9332485971225617	2.120034263661273e-07	0.00038415020857542265	0.0001176817562831	0.2132393423849772
synaptic signaling (GO:0099536)	222	8	1.8947473459676896	3.609290607629014e-07	0.0006540034581023774	0.0001473588555585	0.267014246272002
synapse disassembly (GO:0098883)	11	2	3.6352541732568855	3.872031356560286e-06	0.007016120818087239	0.0001320686999008	0.23930848422024956
regulation of synapse disassembly (GO:1905806)	11	2	3.6352541732568855	3.872031356560286e-06	0.007016120818087239	0.0001320686999008	0.23930848422024956
synapse organization (GO:0050808)	424	10	1.4659315948902574	1.1387524258989492e-05	0.02063419395728896	0.0035694161821353	1.0
regulation of presynaptic membrane potential (GO:0099505)	48	3	2.4380021709833386	5.342750877768275e-05	0.09681064590516114	0.0024555419865217	1.0
postsynaptic density, intracellular component (GO:0099092)	49	3	2.415973499403522	6.168834157979724e-05	0.11177927494259261	0.0020359933088402	1.0
regulation of postsynaptic density assembly (GO:0099151)	20	2	2.941659821050113	8.976311597782421e-05	0.16265076615181748	0.0022376676816273	1.0
