structure_acronym	structure_name	structure_id	expression
DFC	dorsolateral prefrontal cortex	10173	0.473345741808599
ITC	inferolateral temporal cortex (area TEv, area 20)	10252	0.5472294302276273
VFC	ventrolateral prefrontal cortex	10185	0.6771416542372143
MD	mediodorsal nucleus of thalamus	10398	0.41646464680611667
AMY	amygdaloid complex	10361	0.5099366669685038
A1C	primary auditory cortex (core)	10236	0.4100230567810708
CBC	cerebellar cortex	10657	0.3756226425241907
V1C	primary visual cortex (striate cortex, area V1/17)	10269	0.6285110643265279
OFC	orbital frontal cortex	10194	0.670717019149749
STC	posterior (caudal) superior temporal cortex (area 22c)	10243	0.645492228279075
IPC	posteroventral (inferior) parietal cortex	10225	0.6770211739617623
M1C	primary motor cortex (area M1, area 4)	10163	0.38839015442691377
HIP	hippocampus (hippocampal formation)	10294	0.4844037864992047
STR	striatum	10333	0.5628072370341459
S1C	primary somatosensory cortex (area S1, areas 3,1,2)	10209	0.45634212674441493
