structure_acronym	structure_name	structure_id	expression
Ocx	occipital neocortex	10268	1.4241618226030162
M1C-S1C	primary motor-sensory cortex (samples)	10291	1.741043105081463
AMY	amygdaloid complex	10361	1.572787969463034
MGE	medial ganglionic eminence	10550	1.9908229298315232
STC	posterior (caudal) superior temporal cortex (area 22c)	10243	1.5092180828605448
URL	upper (rostral) rhombic lip	10665	1.2980827022446861
CGE	caudal ganglionic eminence	10552	2.1060007802042495
DTH	dorsal thalamus	10391	1.2662367375627999
MFC	anterior (rostral) cingulate (medial prefrontal) cortex	10278	1.3436931575852307
DFC	dorsolateral prefrontal cortex	10173	1.264646168246763
OFC	orbital frontal cortex	10194	1.1594871470240877
LGE	lateral ganglionic eminence	10551	2.0564841557339015
ITC	inferolateral temporal cortex (area TEv, area 20)	10252	1.5769590080058096
HIP	hippocampus (hippocampal formation)	10294	1.3157688814929211
VFC	ventrolateral prefrontal cortex	10185	1.4741802414324638
PCx	parietal neocortex	10208	1.5355911802375743
