symbol	phenotype	FLAMES_scaled	FLAMES_scaled_with_path	XGB_scaled	weighted_cS2G_score	Overall L2G score	L2G_best	FLAMES_causal	FLAMES_causal_path	FLAMES_raw_path	rel_PoPS_Score	rel_PoPS_path	rel_weighted_distance	rel_MAGMA_Z	TP	filename
EIF4G3	SAIGE_594_1	0.012542534036868221	0.012437299003202127	0.034572408	0.0	0.0113747203722596	0	0	0	0.005952945649623871	0.0031862134936362784	0.0	0.2572978126353411	0.1733757635942343	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
ECE1	SAIGE_594_1	0.016868405037887575	0.014546957743682637	0.038960647	0.0	0.0153170526027679	0	0	0	0.006962705390714042	0.08357332837162977	0.01562523097565703	0.5697689748418728	0.17493003520808884	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
NBPF3	SAIGE_594_1	0.026154034909244384	0.025312429901666482	0.06333024	0.0	0.035615362226963	0	0	0	0.012115453638747404	0.060682347943414525	0.045792504778831414	0.8282794694390344	0.2302082392946345	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
ALPL	SAIGE_594_1	0.5991872457175103	0.598750081711776	0.30700898	0.93048216140657	0.8268483281135559	1	1	1	0.28658366203308105	1.0	1.0	1.0	1.0	1	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
RAP1GAP	SAIGE_594_1	0.16808450647780457	0.16633448716140847	0.20806961	0.0	0.0938036665320396	0	0	0	0.07961376191687526	0.5130254350577182	0.504058686095976	0.9656363297011127	0.6728656976919141	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
USP48	SAIGE_594_1	0.031223843151138093	0.030799455122843128	0.05379143	0.0	0.0130076212808489	0	0	0	0.01474174435599801	0.2525519232244459	0.24399255684172805	0.8135276213189591	0.2325644729319009	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
LDLRAD2	SAIGE_594_1	0.020356937767163717	0.020447815828064327	0.051691376	0.0	0.0143362497910857	0	0	0	0.00978707163401364	0.03873055264033641	0.04107550940311932	0.5652722293884499	0.0	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
HSPG2	SAIGE_594_1	0.06694702641769383	0.0663958732734047	0.09394821	0.0	0.0126545615494251	0	0	0	0.031779490454810995	0.40392542987266106	0.39779578178081215	0.546778206147902	0.2658436399747224	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
CELA3B	SAIGE_594_1	0.014785576555034792	0.01482210222646669	0.037156764	0.0	0.010399836115539	0	0	0	0.007094399591471428	0.04343591790711288	0.04489573062549091	0.2599614785848718	0.25788871836538174	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
CELA3A	SAIGE_594_1	0.013376772035623185	0.013664427149690295	0.037156764	0.0	0.010399836115539	0	0	0	0.006540294008723944	0.0	0.009176513999959958	0.2143101496739602	0.20816556829466462	0	SAIGE_594_1-1_21577881_A_C-credset-intersection.cred1
